Literal Value,Hazard Type,Location,Impact,Suggested Remediation
https://doi.org/{doi},Hardcoded URL/Endpoint,src\academic_v2\librarian.py:158,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
120.0.0.0,Hardcoded IP,src\acquisition\paper_downloader.py:113,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://arxiv.org/pdf/{paper.arxiv_id}.pdf,Hardcoded URL/Endpoint,src\acquisition\paper_downloader.py:198,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://content.openalex.org/works/{paper.openalex_id}.pdf,Hardcoded URL/Endpoint,src\acquisition\paper_downloader.py:216,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://arxiv.org/pdf/{paper.arxiv_id}.pdf,Hardcoded URL/Endpoint,src\acquisition\paper_downloader.py:411,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://info.arxiv.org/help/api/index.html,Hardcoded URL/Endpoint,src\acquisition\api_clients\arxiv_client.py:5,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
http://www.w3.org/2005/Atom,Hardcoded URL/Endpoint,src\acquisition\api_clients\arxiv_client.py:25,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
http://arxiv.org/schemas/atom,Hardcoded URL/Endpoint,src\acquisition\api_clients\arxiv_client.py:26,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
http://export.arxiv.org/api/query,Hardcoded URL/Endpoint,src\acquisition\api_clients\arxiv_client.py:70,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://arxiv.org/pdf/{arxiv_id_base}.pdf,Hardcoded URL/Endpoint,src\acquisition\api_clients\arxiv_client.py:274,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://api.crossref.org/,Hardcoded URL/Endpoint,src\acquisition\api_clients\crossref.py:5,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://api.crossref.org/swagger-ui/index.html,Hardcoded URL/Endpoint,src\acquisition\api_clients\crossref.py:26,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://api.crossref.org,Hardcoded URL/Endpoint,src\acquisition\api_clients\crossref.py:33,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://docs.openalex.org/,Hardcoded URL/Endpoint,src\acquisition\api_clients\openalex.py:5,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://api.openalex.org,Hardcoded URL/Endpoint,src\acquisition\api_clients\openalex.py:73,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/,Hardcoded URL/Endpoint,src\acquisition\api_clients\openalex.py:316,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/,Hardcoded URL/Endpoint,src\acquisition\api_clients\openalex.py:414,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/,Hardcoded URL/Endpoint,src\acquisition\api_clients\openalex.py:415,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/{doi},Hardcoded URL/Endpoint,src\acquisition\api_clients\openalex.py:421,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/,Hardcoded URL/Endpoint,src\acquisition\api_clients\openalex.py:444,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/,Hardcoded URL/Endpoint,src\acquisition\api_clients\openalex.py:445,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://www.semanticscholar.org/product/api,Hardcoded URL/Endpoint,src\acquisition\api_clients\semantic_scholar.py:5,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://api.semanticscholar.org,Hardcoded URL/Endpoint,src\acquisition\api_clients\semantic_scholar.py:70,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/,Hardcoded URL/Endpoint,src\acquisition\api_clients\semantic_scholar.py:342,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/,Hardcoded URL/Endpoint,src\acquisition\api_clients\semantic_scholar.py:343,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/,Hardcoded URL/Endpoint,src\acquisition\api_clients\semantic_scholar.py:394,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/,Hardcoded URL/Endpoint,src\acquisition\api_clients\semantic_scholar.py:395,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://unpaywall.org/products/api,Hardcoded URL/Endpoint,src\acquisition\api_clients\unpaywall.py:5,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://api.unpaywall.org/v2,Hardcoded URL/Endpoint,src\acquisition\api_clients\unpaywall.py:45,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/,Hardcoded URL/Endpoint,src\acquisition\api_clients\unpaywall.py:109,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/,Hardcoded URL/Endpoint,src\acquisition\api_clients\unpaywall.py:110,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/,Hardcoded URL/Endpoint,src\acquisition\api_clients\unpaywall.py:176,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/,Hardcoded URL/Endpoint,src\acquisition\api_clients\unpaywall.py:177,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://arxiv.org/pdf,Hardcoded URL/Endpoint,src\acquisition\downloaders\arxiv_downloader.py:27,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://arxiv.org/abs/2301.12345,Hardcoded URL/Endpoint,src\acquisition\downloaders\arxiv_downloader.py:57,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://content.openalex.org/works/{openalex_id}.pdf,Hardcoded URL/Endpoint,src\acquisition\downloaders\openalex_content.py:21,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://content.openalex.org/works,Hardcoded URL/Endpoint,src\acquisition\downloaders\openalex_content.py:25,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://openalex.org/W12345,Hardcoded URL/Endpoint,src\acquisition\downloaders\openalex_content.py:59,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://api.unpaywall.org/v2,Hardcoded URL/Endpoint,src\acquisition\downloaders\unpaywall_downloader.py:25,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://doi.org/,Hardcoded URL/Endpoint,src\acquisition\downloaders\unpaywall_downloader.py:59,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
http://doi.org/,Hardcoded URL/Endpoint,src\acquisition\downloaders\unpaywall_downloader.py:60,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
https://dx.doi.org/,Hardcoded URL/Endpoint,src\acquisition\downloaders\unpaywall_downloader.py:61,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
http://dx.doi.org/,Hardcoded URL/Endpoint,src\acquisition\downloaders\unpaywall_downloader.py:62,Prevents multi-environment portability and creates security boundaries risks.,Move to config/*.yaml or load via os.environ.get()
