Key,Status,Defined In,Default Value,Usages,Issue
SKIP_INDEX_GATE,MISSING_IN_CONFIG,N/A,N/A,src\pipeline\loader.py:34,Key is requested by codebase but absent in YAML defaults.
acquisition,MISSING_IN_CONFIG,N/A,N/A,scripts\autonomous_update.py:113 | scripts\autonomous_update.py:186,Key is requested by codebase but absent in YAML defaults.
acquisition.apis.arxiv.enabled,UNUSED_CONFIG,acquisition_config.yaml,True,,Key is in YAML defaults but never read in Python code.
acquisition.apis.arxiv.requests_per_minute,UNUSED_CONFIG,acquisition_config.yaml,20,,Key is in YAML defaults but never read in Python code.
acquisition.apis.arxiv.timeout_seconds,UNUSED_CONFIG,acquisition_config.yaml,30,,Key is in YAML defaults but never read in Python code.
acquisition.apis.crossref.enabled,UNUSED_CONFIG,acquisition_config.yaml,True,,Key is in YAML defaults but never read in Python code.
acquisition.apis.crossref.requests_per_minute,UNUSED_CONFIG,acquisition_config.yaml,50,,Key is in YAML defaults but never read in Python code.
acquisition.apis.crossref.timeout_seconds,UNUSED_CONFIG,acquisition_config.yaml,30,,Key is in YAML defaults but never read in Python code.
acquisition.apis.openalex.api_key,UNUSED_CONFIG,acquisition_config.yaml,jxig8xd8dUs3wujBKJyMn3,,Key is in YAML defaults but never read in Python code.
acquisition.apis.openalex.enabled,UNUSED_CONFIG,acquisition_config.yaml,True,,Key is in YAML defaults but never read in Python code.
acquisition.apis.openalex.max_retries,UNUSED_CONFIG,acquisition_config.yaml,3,,Key is in YAML defaults but never read in Python code.
acquisition.apis.openalex.requests_per_minute,UNUSED_CONFIG,acquisition_config.yaml,60,,Key is in YAML defaults but never read in Python code.
acquisition.apis.openalex.results_per_page,UNUSED_CONFIG,acquisition_config.yaml,100,,Key is in YAML defaults but never read in Python code.
acquisition.apis.openalex.search_fields,UNUSED_CONFIG,acquisition_config.yaml,"['title', 'abstract', 'keywords']",,Key is in YAML defaults but never read in Python code.
acquisition.apis.openalex.timeout_seconds,UNUSED_CONFIG,acquisition_config.yaml,30,,Key is in YAML defaults but never read in Python code.
